Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Residuals	1.06431131042285	113	NA	NA	NA	NA	NA	NA	2016	Right_Hand	pielou_e
(Intercept)	3157.2651264402	1	6519.53007326035	1.42667937040897e-131	NA	NA	NA	NA	2015	Right_Hand	shannon
Age_num	2.36630714739138	1	4.88625756538321	0.0284902826323835	0.0296341104318268	0.95	0	0.0985335217873824	2015	Right_Hand	shannon
Expo	17.4434143544713	1	36.0194218445439	1.26345355787109e-08	0.18375435202084	0.95	0.087868663891512	0.288789866513652	2015	Right_Hand	shannon
Gender	2.54745921558022	1	5.26032382497606	0.0231182667933889	0.0318305307845528	0.95	0.000173150135560131	0.102126024226274	2015	Right_Hand	shannon
Residuals	77.4844834756328	160	NA	NA	NA	NA	NA	NA	2015	Right_Hand	shannon
(Intercept)	2184.46859624293	1	1905.74203238585	1.40795945566105e-72	NA	NA	NA	NA	2016	Right_Hand	shannon
Age_num	7.29268066571049	1	6.36217343536788	0.0130499927904223	0.0533014208124558	0.95	0.00224236529395275	0.15221092178476	2016	Right_Hand	shannon
Expo	12.8120234463779	1	11.1772774594559	0.00112371682196829	0.0900106500008049	0.95	0.0153762073748088	0.201738125130534	2016	Right_Hand	shannon
Gender	2.58220139563502	1	2.25272624390698	0.136168314402023	0.0195459692566367	0.95	0	0.0961604179838991	2016	Right_Hand	shannon
Residuals	129.526949178121	113	NA	NA	NA	NA	NA	NA	2016	Right_Hand	shannon
(Intercept)	10188230.5125984	1	1004.68560617351	7.30746598111424e-71	NA	NA	NA	NA	2015	Right_Hand	observed_otus
Age_num	34656.5765612647	1	3.41756731822048	0.0663515612564866	0.0209130962741937	0.95	0	0.0834272670751738	2015	Right_Hand	observed_otus
Expo	876286.829023432	1	86.4127252431726	1.04342474531699e-16	0.350682884408247	0.95	0.238339773881252	0.452208541691402	2015	Right_Hand	observed_otus
Gender	79837.3896628327	1	7.87295459496401	0.00564115283394491	0.0468982905195152	0.95	0.00413062219843866	0.125209330241476	2015	Right_Hand	observed_otus
Residuals	1622514.41844009	160	NA	NA	NA	NA	NA	NA	2015	Right_Hand	observed_otus
(Intercept)	6821279.09048536	1	357.541915182575	8.51171946031327e-37	NA	NA	NA	NA	2016	Right_Hand	observed_otus
Age_num	51988.0207398729	1	2.72498694970755	0.101565643434014	0.023547092305068	0.95	0	0.103858641650375	2016	Right_Hand	observed_otus
Expo	526374.061442684	1	27.5902492090023	7.13180051489003e-07	0.196245823335774	0.95	0.0814923034177976	0.321546135695856	2016	Right_Hand	observed_otus
Gender	70135.6455137795	1	3.67620686485921	0.0577189498062298	0.0315077680672049	0.95	0	0.118042864901398	2016	Right_Hand	observed_otus
Residuals	2155843.84513699	113	NA	NA	NA	NA	NA	NA	2016	Right_Hand	observed_otus
